genome_drug.genome_name	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.measurement_sign	genome_drug.measurement_value	genome_drug.measurement_unit	genome_drug.resistant_phenotype	genome_drug.laboratory_typing_platform
Escherichia coli strain 165	562.42660	tetracycline	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 165	562.42660	tobramycin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 166	562.42661	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain 166	562.42661	tetracycline	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 24	562.42686	aztreonam	<	2	mg/L	Susceptible	
Escherichia coli strain 24	562.42686	cefepime	==	8	mg/L	Intermediate	
Escherichia coli strain 24	562.42686	cefoxitin	>	16	mg/L	Intermediate	
Escherichia coli strain 24	562.42686	colistin	==	0.5	mg/L		
Escherichia coli strain 24	562.42686	doripenem	==	0.5	mg/L	Susceptible	
Escherichia coli strain 24	562.42686	imipenem	==	2	mg/L	Intermediate	
Escherichia coli strain 24	562.42686	minocycline	<	4	mg/L		
Escherichia coli strain 24	562.42686	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain 169	562.42662	ceftazidime	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 169	562.42662	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain 172	562.42664	gentamicin	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 172	562.42664	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain AR_0085	562.30362	amikacin	==	8	mg/L	Susceptible	
Escherichia coli strain AR_0085	562.30362	cefepime	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0085	562.30362	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0085	562.30362	levofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0085	562.30362	meropenem	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0085	562.30362	tobramycin	==	1	mg/L	Susceptible	
Escherichia coli strain AR_452	562.30434	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_452	562.30434	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_452	562.30434	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_452	562.30434	gentamicin	==	0.5	mg/L	Susceptible	
Escherichia coli strain AR_452	562.30434	meropenem	==	8	mg/L	Resistant	
Escherichia coli strain AR_451	562.30435	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain AR_451	562.30435	tetracycline	==	8	mg/L	Intermediate	
Escherichia coli strain AR_451	562.30435	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_451	562.30435	tobramycin	>	16	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	azithromycin	>	256	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	ceftaroline	>	32	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	cefuroxime	>	256	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	daptomycin	>	256	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	metronidazole	>	256	mg/L	Not defined	
Escherichia coli strain CCUG 70745	562.30349	benzylpenicillin	>	32	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	tigecycline	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0085	562.30362	amoxicillin/clavulanic acid	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0085	562.30362	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	
Escherichia coli strain AR_452	562.30434	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain CCUG 70745	562.30349	piperacillin/tazobactam	>	256/4	mg/L	Resistant	
Escherichia coli strain AR_0450	562.33280	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0450	562.33280	cefepime	==	32	mg/L	Resistant	
Escherichia coli strain AR_0450	562.33280	colistin	<=	0.25	mg/L	Not defined	
Escherichia coli strain AR_0450	562.33280	meropenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	aztreonam	==	32	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	cefotaxime	>	64	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	ceftazidime-avibactam	==	2/4	mg/L	Susceptible	
Escherichia coli strain AR_0433	562.33281	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0433	562.33281	gentamicin	==	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0086	562.34085	amikacin	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0086	562.34085	cefotaxime	>	64	mg/L	Resistant	
Escherichia coli strain AR_0086	562.34085	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0086	562.34085	levofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0086	562.34085	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0013	562.34086	amikacin	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0013	562.34086	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0013	562.34086	cefepime	==	4	mg/L	Susceptible-dose dependent	
Escherichia coli strain AR_0013	562.34086	ceftazidime	<=	1	mg/L	Susceptible	
Escherichia coli strain AR_0013	562.34086	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain AR_0013	562.34086	doripenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0013	562.34086	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0013	562.34086	levofloxacin	<=	0.25	mg/L	Susceptible	
Escherichia coli strain AR_0013	562.34086	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain AR_0089	562.34089	amikacin	<=	1	mg/L	Susceptible	
Escherichia coli strain AR_0089	562.34089	aztreonam	==	16	mg/L	Resistant	
Escherichia coli strain AR_0089	562.34089	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0089	562.34089	ceftazidime	==	64	mg/L	Resistant	
Escherichia coli strain AR_0089	562.34089	ciprofloxacin	<=	0.25	mg/L	Susceptible	
Escherichia coli strain AR_0089	562.34089	doripenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0089	562.34089	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0089	562.34089	meropenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0067	562.34088	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0067	562.34088	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0067	562.34088	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0067	562.34088	colistin	==	1	mg/L	Not defined	
Escherichia coli strain AR_0067	562.34088	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0150	562.17621	amikacin	<=	1	mg/L	Susceptible	
Escherichia coli strain AR_0058	562.19632	amikacin	<=	1	mg/L	Susceptible	
Escherichia coli strain AR_0151	562.19631	amikacin	==	2	mg/L	Susceptible	
Escherichia coli CHS 68	1438684.3	amikacin				Resistant	
Escherichia coli CHS 77	1438686.3	amikacin				Susceptible	
Escherichia coli strain AR_0001	562.12959	amikacin	==	16	mg/L	Susceptible	
Escherichia coli strain AR_0048	562.12960	amikacin	>	64	mg/L	Resistant	
Escherichia coli strain AR_0069	562.16326	amikacin	==	8	mg/L	Susceptible	
Escherichia coli strain AR_0149	562.19821	amikacin	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0128	562.19823	amikacin	>	64	mg/L	Resistant	
Escherichia coli strain AR_0077	562.28389	amikacin	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0370	562.28567	amikacin	==	8	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	amikacin	==	16	mg/L	Susceptible	
Escherichia coli strain AR435	562.29007	amikacin	>	64	mg/L	Resistant	
Escherichia coli strain AR_0378	562.29003	amikacin	==	2	mg/L	Susceptible	
Escherichia coli strain AR_0372	562.28434	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0368	562.28565	ampicillin/sulbactam	==	16/8	mg/L	Intermediate	
Escherichia coli strain AR_0370	562.28567	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR435	562.29007	ampicillin/sulbactam	>	32/16	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain AR_0118	562.16324	aztreonam	==	32	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain 5CRE51	562.16466	aztreonam	>	16	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0149	562.19821	aztreonam	<=	2	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain AR437	562.29008	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain AR436	562.29006	aztreonam	==	32	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	cefepime	==	16	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0104	562.16327	cefepime	==	16	mg/L	Resistant	
Escherichia coli strain 5CRE51	562.16466	cefepime	>	16	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0162	562.22426	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0369	562.28435	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0372	562.28434	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0371	562.28566	cefepime	==	32	mg/L	Resistant	
Escherichia coli strain AR_0368	562.28565	cefepime	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0370	562.28567	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR434	562.28805	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR437	562.29008	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain AR_0081	562.29139	cefepime	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0055	562.17722	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0114	562.17620	cefoxitin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain 5CRE51	562.16466	cefoxitin	>	32	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0128	562.19823	cefoxitin	>	32	mg/L	Resistant	
Escherichia coli strain AR_0077	562.28389	cefoxitin	==	4	mg/L	Susceptible	
Escherichia coli strain AR_0370	562.28567	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain AR434	562.28805	cefoxitin	==	8	mg/L	Susceptible	
Escherichia coli strain AR_0081	562.29139	cefoxitin	>	16	mg/L	Resistant	
Escherichia coli strain 81009	562.17359	chloramphenicol	==	4	mg/L	Susceptible	
Escherichia coli strain AR_0055	562.17722	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain 81009	562.17359	ciprofloxacin	==	32	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0001	562.12959	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain ICBEC7P	562.13502	ciprofloxacin	==	64	mg/L	Resistant	Etest
Escherichia coli strain AR_0118	562.16324	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	ciprofloxacin	<=	0.25	mg/L	Susceptible	
Escherichia coli strain AR_0371	562.28566	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0374	562.28563	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0378	562.29003	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0081	562.29139	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0150	562.17621	ertapenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0151	562.19631	ertapenem	>	8	mg/L	Resistant	
Escherichia coli CHS 69	1438685.3	ertapenem				Resistant	
Escherichia coli strain AR_0162	562.22426	ertapenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0077	562.28389	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0369	562.28435	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0374	562.28563	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR436	562.29006	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR435	562.29007	ertapenem	>	8	mg/L	Resistant	
Escherichia coli strain AR_0081	562.29139	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0058	562.19632	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19633	gentamicin	>	16	mg/L	Resistant	
Escherichia coli CHS 77	1438686.3	gentamicin				Susceptible	
Escherichia coli strain AR_0048	562.12960	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0149	562.19821	gentamicin	==	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0077	562.28389	gentamicin	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0369	562.28435	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0370	562.28567	gentamicin	==	0.5	mg/L	Susceptible	
Escherichia coli strain AR434	562.28805	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR436	562.29006	gentamicin	==	4	mg/L	Susceptible	
Escherichia coli strain AR435	562.29007	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain AR_0378	562.29003	gentamicin	==	1	mg/L	Susceptible	
Escherichia coli strain AR_0055	562.17722	imipenem	==	8	mg/L	Resistant	
Escherichia coli strain AR_0058	562.19632	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0001	562.12959	imipenem	==	4	mg/L	Resistant	
Escherichia coli strain AR_0048	562.12960	imipenem	==	16	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	imipenem	==	4	mg/L	Resistant	
Escherichia coli strain 5CRE51	562.16466	imipenem	>	8	mg/L	Resistant	Phoenix NMIC-203 card
Escherichia coli strain AR_0369	562.28435	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0368	562.28565	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0374	562.28563	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR436	562.29006	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0378	562.29003	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0081	562.29139	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain AR_0114	562.17620	levofloxacin	>	8	mg/L	Resistant	
Escherichia coli CHS 68	1438684.3	levofloxacin				Resistant	
Escherichia coli CHS 69	1438685.3	levofloxacin				Resistant	
Escherichia coli strain AR_0118	562.16324	levofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain AR_0061	562.16325	levofloxacin	<=	0.12	mg/L	Susceptible	
Escherichia coli strain AR_0149	562.19821	levofloxacin	==	8	mg/L	Resistant	
Escherichia coli strain ZTA15/01169-1EB1	562.19090	nalidixic acid	>	128	mg/L	Resistant	Sensititre microbroth dilution using EUVSEC and EUVSEC2 plates
Escherichia coli strain ZTA15/01169-1EB1	562.19090	temocillin	==	16	mg/L	Resistant	Sensititre microbroth dilution using EUVSEC and EUVSEC2 plates
Escherichia coli strain MRSN388639	562.10576	ceftazidime	>	16	mg/L		
Escherichia coli strain MRSN388648	562.10576	nitrofurantoin	<=	16	mg/L		
Escherichia coli strain MRSN388649	562.10576	piperacillin/tazobactam		4/4	mg/L		
Escherichia coli strain MRSN388650	562.10576	tetracycline	>	8	mg/L		
Escherichia coli strain MRSN388638	562.10576	cefepime	>	16	mg/L		
Escherichia coli strain MRSN388641	562.10576	ciprofloxacin	>	2	mg/L		
Escherichia coli strain ZTA15/01169-1EB1	562.19090	gentamicin	>	32	mg/L	Resistant	Sensititre microbroth dilution using EUVSEC and EUVSEC2 plates
Escherichia coli strain MRSN388644	562.10576	gentamicin	>	8	mg/L		
Escherichia coli strain ZTA15/01169-1EB1	562.19090	imipenem	<=	0.12	mg/L	Susceptible	Sensititre microbroth dilution using EUVSEC and EUVSEC2 plates
Escherichia coli strain MRSN388646	562.10576	levofloxacin	>	4	mg/L		
Escherichia coli strain 148	562.42647	amikacin	<=	2	mg/L	Susceptible	Vitek
Escherichia coli strain 148	562.42647	ceftazidime	==	16	mg/L	Resistant	Vitek
Escherichia coli strain 148	562.42647	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain 148	562.42647	tobramycin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 149	562.42648	amikacin	<=	2	mg/L	Susceptible	Vitek
Escherichia coli strain 149	562.42648	cefoxitin	<=	4	mg/L	Susceptible	Vitek
Escherichia coli strain 149	562.42648	ceftazidime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain 149	562.42648	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 149	562.42648	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain 149	562.42648	gentamicin	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 151	562.42649	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain 151	562.42649	ceftriaxone	==	16	mg/L	Resistant	Vitek
Escherichia coli strain 151	562.42649	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain 151	562.42649	tetracycline	==	4	mg/L	Susceptible	Vitek
Escherichia coli strain 190	562.42665	cefepime	==	32	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	ceftazidime	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	gentamicin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	nitrofurantoin	<=	16	mg/L	Susceptible	Vitek
Escherichia coli strain M29	562.42783	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M30	562.42785	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M30	562.42785	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M30	562.42785	cefepime	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain M30	562.42785	ciprofloxacin	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M30	562.42785	gentamicin	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain M30	562.42785	levofloxacin	<=	0.12	mg/L	Susceptible	Vitek
Escherichia coli strain M31	562.42786	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M31	562.42786	cefepime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain M32	562.42787	aztreonam	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain M32	562.42787	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M32	562.42787	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M33	562.42788	amikacin	==	8	mg/L	Susceptible	Vitek
Escherichia coli strain M33	562.42788	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M33	562.42788	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M34	562.42789	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M34	562.42789	aztreonam	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M34	562.42789	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain M34	562.42789	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M35	562.42790	cefazolin	<=	4	mg/L	Susceptible	Vitek
Escherichia coli strain M35	562.42790	gentamicin	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain M36	562.42791	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M36	562.42791	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M37	562.42792	amikacin	==	4	mg/L	Susceptible	Vitek
Escherichia coli strain M37	562.42792	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M37	562.42792	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M37	562.42792	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M37	562.42792	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M38	562.42794	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M38	562.42794	cefepime	==	2	mg/L	Susceptible	Vitek
Escherichia coli strain M38	562.42794	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain M38	562.42794	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain MUGSI_9	562.42871	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_9	562.42871	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_9	562.42871	ciprofloxacin	<	0.25	mg/L	Susceptible	
Escherichia coli strain MUGSI_9	562.42871	doripenem	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_9	562.42871	imipenem	>	64	mg/L	Resistant	
Escherichia coli strain MUGSI_9	562.42871	meropenem	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_9	562.42871	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_9	562.42871	tobramycin	<	1	mg/L	Susceptible	
Escherichia coli strain MUGSI_13	562.42822	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_13	562.42822	cefotaxime	>	64	mg/L	Resistant	
Escherichia coli strain MUGSI_13	562.42822	colistin	==	0.5	mg/L		
Escherichia coli strain MUGSI_13	562.42822	doripenem	>=	4	mg/L	Resistant	
Escherichia coli strain MUGSI_13	562.42822	tetracycline	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_13	562.42822	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_14	562.42826	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain MUGSI_14	562.42826	cefepime	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_14	562.42826	ceftazidime	>	64	mg/L	Resistant	
Escherichia coli strain MUGSI_14	562.42826	colistin	==	0.5	mg/L		
Escherichia coli strain MUGSI_14	562.42826	ertapenem	>	4	mg/L	Resistant	
Escherichia coli strain MUGSI_14	562.42826	gentamicin	==	8	mg/L	Intermediate	
Escherichia coli strain MUGSI_14	562.42826	levofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_14	562.42826	meropenem	==	2	mg/L	Intermediate	
Escherichia coli strain MUGSI_14	562.42826	polymyxin B	==	0.5	mg/L		
Escherichia coli strain MUGSI_273	562.42856	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_273	562.42856	gentamicin	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_273	562.42856	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_274	562.42857	amikacin	<	1	mg/L	Susceptible	
Escherichia coli strain MUGSI_274	562.42857	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_274	562.42857	cefepime	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_274	562.42857	cefotaxime	==	2	mg/L	Intermediate	
Escherichia coli strain MUGSI_274	562.42857	ertapenem	<	0.25	mg/L	Susceptible	
Escherichia coli strain MUGSI_274	562.42857	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_276	562.42858	colistin	==	0.5	mg/L		
Escherichia coli strain MUGSI_276	562.42858	ertapenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	amikacin	<	2	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	doripenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	ertapenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	meropenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	tetracycline	<=	4	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_278	562.42859	tobramycin	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_25	562.42851	amikacin	<	1	mg/L	Susceptible	
Escherichia coli strain MUGSI_25	562.42851	cefepime	==	8	mg/L	Susceptible	
Escherichia coli strain MUGSI_25	562.42851	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain MUGSI_25	562.42851	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_25	562.42851	ertapenem	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_25	562.42851	levofloxacin	<	0.25	mg/L	Susceptible	
Escherichia coli strain MUGSI_280	562.42860	aztreonam	>=	16	mg/L	Resistant	
Escherichia coli strain MUGSI_280	562.42860	cefepime	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_280	562.42860	colistin	==	0.5	mg/L		
Escherichia coli strain MUGSI_280	562.42860	doripenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_280	562.42860	meropenem	<	0.12	mg/L	Susceptible	
Escherichia coli strain MUGSI_44	562.42866	ampicillin	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	cefazolin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	ceftazidime	>	128	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	gentamicin	>	16	mg/L	Resistant	
Escherichia coli strain MUGSI_44	562.42866	polymyxin B	==	0.5	mg/L		
Escherichia coli strain MUGSI_44	562.42866	tetracycline	<=	4	mg/L	Susceptible	
Escherichia coli strain MUGSI_44	562.42866	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_47	562.42867	amikacin	==	32	mg/L	Intermediate	
Escherichia coli strain MUGSI_47	562.42867	aztreonam	>	64	mg/L	Resistant	
Escherichia coli strain MUGSI_47	562.42867	ceftriaxone	>	32	mg/L	Resistant	
Escherichia coli strain MUGSI_47	562.42867	doripenem	>=	4	mg/L	Resistant	
Escherichia coli strain MUGSI_47	562.42867	ertapenem	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_47	562.42867	meropenem	>	8	mg/L	Resistant	
Escherichia coli strain MUGSI_47	562.42867	polymyxin B	==	1	mg/L		
Escherichia coli strain MUGSI_47	562.42867	tetracycline	<	2	mg/L	Susceptible	
Escherichia coli strain MUGSI_47	562.42867	tigecycline	<	0.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_287	562.42861	amikacin	<	8	mg/L	Susceptible	
Escherichia coli strain MUGSI_287	562.42861	cefazolin	>	8	mg/L	Resistant	
